chr,bp_mm10,megamuga,gigamuga
1,105260632,UNC1327507,UNC1327507
1,105403171,UNC1329671,UNC1329671
1,105481812,UNC1330856,UNC1330856
1,105517797,UNC1331384,UNC1331384
1,10555149,UNC91753,UNC91753
1,105583184,UNC1331858,UNC1331858
1,105650693,UNC1332548,UNC1332548
1,105719630,UNC1333161,UNC1333161
1,105763677,UNC1333563,UNC1333563
1,105798239,,UNCHS001880;UNCHS001881
1,105823560,UNC1334350,UNC1334350
1,105864921,JAX00007672,JAX00007672
1,105865628,UNC1334916,UNC1334916
1,105869088,JAX00192775,JAX00192775;JAX00192775r
1,105911284,UNC1335696,UNC1335696
1,105989561,UNC1336924,UNC1336924
1,106043364,UNC1337526,UNC1337526
1,106099598,UNC1338324,UNC1338324
1,106153342,JAX00261830,JAX00261830
1,106166596,UNC1338997,UNC1338997
1,106189355,UNC1339209,UNC1339209
1,10619399,UNC92768,UNC92768
1,106256393,UNC1339667,UNC1339667
1,106309658,JAX00261845,JAX00261845
1,106323023,UNC1339985,UNC1339985
1,106344762,JAX00007709,JAX00007709
1,106379449,UNC1340507,UNC1340507
1,106412560,UNC1340991,UNC1340991
1,106488480,UNC1341982,UNC1341982
1,106523431,JAX00007722,JAX00007722
1,106545951,UNC1342769,UNC1342769
1,10661586,UNC93438,UNC93438
1,106679267,UNC1344572,UNC1344572
1,106729520,UNC1345210,UNC1345210
1,106748914,UNC1345454,UNC1345454
1,106835365,UNC1346444,UNC1346444
1,106878129,UNC1346796,UNC1346796
1,106942683,UNC1347734,UNC1347734
1,107010896,UNC1348697,UNC1348697
1,107197995,UNC1350196,UNC1350196
1,107287683,UNC1350911,UNC1350911
1,107320442,UNC1351265,UNC1351265
1,10741675,UNC94417,UNC94417
1,107420860,UNC1352340,UNC1352340
1,107492361,UNC1353725,UNC1353725
1,107530213,UNC1354282,UNC1354282
1,107659998,UNC1356677,UNC1356677
1,107704555,UNC1357335,UNC1357335
1,107781894,JAX00262168,JAX00262168
1,107801178,UNC1358603,UNC1358603
1,107852632,UNC1359274,UNC1359274
1,107868665,UNC1359508,UNC1359508
1,107950166,JAX00262204,JAX00262204
1,107962221,UNC1360510,UNC1360510
1,108045264,JAX00262222,JAX00262222
1,108057583,UNC1361758,UNC1361758
1,10809088,UNC94965,UNC94965
1,108125835,UNC1362756,UNC1362756
1,108167710,UNC1363366,UNC1363366
1,108212470,UNC1363863,UNC1363863
1,108364365,UNC1365888,UNC1365888
1,108384025,UNC1366174,UNC1366174
1,10849375,UNC95366,UNC95366
1,108510204,UNC1368298,UNC1368298
1,108647397,UNC1369947,UNC1369947
1,10874490,JAX00000583,JAX00000583
1,108790149,UNC1372144,UNC1372144
1,108917294,UNC1374254,UNC1374254
1,108971258,UNC1375431,UNC1375431
1,10898627,UNC95979,UNC95979
1,109005083,JAX00007907;repJAX00007907,
1,109027889,UNC1376358,UNC1376358
1,109054617,UNC1376609,UNC1376609
1,109143788,UNC1377940,UNC1377940
1,109174451,UNC1378528,UNC1378528
1,109228102,UNC1379443,UNC1379443
1,109287954,UNC1379993,UNC1379993
1,109343317,UNC1380902,UNC1380902
1,109399188,UNC1381625,UNC1381625
1,109471517,UNC1382599,UNC1382599
1,109512395,UNC1383332,UNC1383332
1,109622167,JAX00262471,JAX00262471
1,10964168,UNC96966,UNC96966
1,109671908,UNC1385369,UNC1385369
1,109818425,JAX00262489,JAX00262489
1,109857583,UNC1387881,UNC1387881
1,110003786,JAX00262531,JAX00262531
1,11006096,UNC97447,UNC97447
1,110079486,UNC1391068,UNC1391068
1,110213420,UNC1392467,UNC1392467
1,11024376,JAX00241835,JAX00241835
1,110247727,JAX00262573,JAX00262573
1,110338668,UNC1393775,UNC1393775
1,110551626,JAX00008023,JAX00008023
1,110603728,UNC1396245,UNC1396245
1,11068783,UNC98241,UNC98241
1,110842326,JAX00262675,JAX00262675;JAX00262675r
1,110853492,JAX00262678,JAX00262678
1,110935067,UNC1401095,UNC1401095
1,11099540,JAX00241853,JAX00241853
1,111072005,UNC1402336,UNC1402336
1,111243654,UNC1404693,UNC1404693
1,111408289,UNC1406126,UNC1406126
1,111457920,UNC1407130,UNC1407130
1,11147702,UNC99911,UNC99911
1,111751527,UNC1412022,UNC1412022
1,11184476,JAX00241881,JAX00241881
1,111860215,UNC1414382,UNC1414382
1,11192860,UNC101009,UNC101009
1,111994732,UNC1416733,UNC1416733
1,112105818,UNC1418679,UNC1418679
1,112249336,UNC1421139,UNC1421139
1,112486389,UNC1425647,UNC1425647
1,11252210,UNC102088,UNC102088
1,112590939,UNC1427513,UNC1427513
1,112757980,UNC1430705,UNC1430705
1,112830990,,ICR2012;ICR4132
1,112848019,UNC1432441,UNC1432441
1,11291251,UNC102696,UNC102696
1,113006005,UNC1434652,UNC1434652
1,113129030,UNC1436579,UNC1436579
1,113219068,UNC1438333,UNC1438333
1,113394307,UNC1442162,UNC1442162
1,11341672,UNC103874,UNC103874
1,113513133,UNC1444262,UNC1444262
1,113637635,UNC1446279,UNC1446279
1,11372643,UNC104485,UNC104485
1,113779151,UNC1449086,UNC1449086
1,113837447,UNC1450027,UNC1450027;UNCHS001995
1,113934768,JAX00263223,JAX00263223
1,114016746,UNC1452966,UNC1452966
1,114065227,,ICR2013;ICR4143
1,114155341,JAX00008294,JAX00008294
1,11416077,UNC105283,UNC105283
1,114230597,,ICR145;UNCHS002000
1,114352744,UNC1456982,UNC1456982
1,114455470,JAX00263321,JAX00263321
1,114480749,UNC1459692,UNC1459692
1,114647471,UNC1462305,UNC1462305
1,114740748,UNC1463677,UNC1463677
1,114872171,UNC1465876,UNC1465876
1,114880627,JAX00263391,JAX00263391
1,11502038,UNC106795,UNC106795
1,115027502,UNC1468485,UNC1468485
1,115134891,UNC1469655,UNC1469655
1,115222997,UNC1470585,UNC1470585
1,115285524,JAX00263458,JAX00263458
1,115409137,UNC1474435,UNC1474435
1,115418267,JAX00263476,JAX00263476
1,11547936,UNC107703,UNC107703
1,115691891,UNC1478474,UNC1478474
1,11570718,UNC108325,UNC108325
1,115850562,UNC1481218,UNC1481218
1,115893992,JAX00263558,JAX00263558;JAX00263558r
1,115938445,UNC1483056,UNC1483056
1,116183610,UNC1486466,UNC1486466
1,116288608,UNC1488201,UNC1488201
1,116391798,UNC1489878,UNC1489878
1,11643615,UNC109624,UNC109624
1,116522855,UNC1492051,UNC1492051;UNCHS002032
1,116680921,UNC1494993,UNC1494993
1,11692348,UNC110353,UNC110353
1,116932003,UNC1499687,UNC1499687
1,117117484,UNC1502088,UNC1502088
1,117143237,UNC1502527,UNC1502527
1,117306312,UNC1505153,UNC1505153
1,117443955,UNC1507827,UNC1507827
1,11746954,UNC111393,UNC111393
1,117495987,JAX00263863,JAX00263863
1,117650287,UNC1510005,UNC1510005
1,117844953,UNC1510536,UNC1510536
1,11793253,UNC112302,UNC112302
1,118195743,UNC1511575,UNC1511575
1,118235370,JAX00263896,JAX00263896
1,118338006,UNC1512461,UNC1512461
1,11835789,UNC113047,UNC113047
1,118453638,UNC1513655,UNC1513655
1,118511118,JAX00263938,JAX00263938
1,118597490,JAX00263954,JAX00263954
1,118599741,JAX00263957,JAX00263957
1,118612472,UNC1515066,UNC1515066
1,118674211,UNC1515883,UNC1515883
1,118852804,JAX00264021,JAX00264021
1,118854681,UNC1518702,UNC1518702
1,118973907,UNC1520274,UNC1520274
1,118975178,JAX00008637,JAX00008637
1,119041297,UNC1521058,UNC1521058
1,119080143,UNC1521453,UNC1521453
1,119116297,B6_01-121012874-S,B6_01-121012874-S
1,119116770,UNC1521901,UNC1521901
1,119120914,JAX00008647,JAX00008647
1,11914562,UNC114331,UNC114331
1,119158830,UNC1522291,UNC1522291
1,119191078,UNC1522647,UNC1522647
1,119207703,JAX00264100,JAX00264100
1,119230586,UNC1523042,UNC1523042
1,119254495,JAX00264108,JAX00264108
1,119275583,UNC1523413,UNC1523413
1,119300016,UNC1523747,UNC1523747
1,119327999,UNC1524054,UNC1524054
1,119370763,JAX00008666,JAX00008666
1,119376212,UNC1524644,UNC1524644
1,119406284,UNC1524993,UNC1524993
1,119435727,UNC1525238,UNC1525238
1,119487629,UNC1525753,UNC1525753
1,119528830,,sanger2456;sanger2456q
1,11954630,UNC114802,UNC114802
1,119559030,UNC1526621,UNC1526621
1,119598195,UNC1527031,UNC1527031
1,119619781,UNC1527204,UNC1527204;UNCHS002084
1,119631873,JAX00008686,JAX00008686
1,119679181,UNC1527486,UNC1527486
1,11970514,JAX00242019,JAX00242019
1,119717118,UNC1527658,UNC1527658
1,119742983,UNC1527814,UNC1527814
1,119769725,UNC1527951,UNC1527951
1,119816156,UNC1528262,UNC1528262
1,119855835,UNC1528576,UNC1528576
1,119888857,UNC1528926,UNC1528926
1,119918461,UNC1529295,UNC1529295
1,11996568,JAX00242029,JAX00242029
1,11996705,B6_01-011986786-S,B6_01-011986786-S
1,119975826,UNC1529781,UNC1529781
1,119978556,JAX00008712,JAX00008712
1,119995284,UNC1530011,UNC1530011
1,120039168,UNC1530571,UNC1530571
1,12006194,UNC115578,UNC115578
1,120081247,UNC1531046,UNC1531046
1,120111004,UNC1531455,UNC1531455
1,120147866,UNC1532108,UNC1532108
1,120181608,JAX00264245,JAX00264245
1,120186355,UNC1532665,UNC1532665
1,120191934,JAX00264249,JAX00264249
1,120192015,JAX00264250,JAX00264250
1,120227474,UNC1533406,UNC1533406
1,120241645,UNC1533578,UNC1533578
1,120293462,UNC1534211,UNC1534211
1,120320932,UNC1534707,UNC1534707
1,120367281,UNC1535395,UNC1535395
1,120403934,UNC1535912,UNC1535912
1,120438369,UNC1536513,UNC1536513
1,120477863,UNC1537101,UNC1537101
1,120519980,UNC1537657,UNC1537657
1,120552986,UNC1538064,UNC1538064
1,120592842,UNC1538671,UNC1538671
1,120622608,UNC1538944,UNC1538944
1,120668177,UNC1539642,UNC1539642
1,120683966,UNC1539919,UNC1539919
1,120728822,UNC1540440,UNC1540440
1,120755617,UNC1540789,UNC1540789
1,120796945,JAX00264426,JAX00264426
1,120809477,JAX00264435,JAX00264435
1,120811425,UNC1541525,UNC1541525
1,120894306,UNC1542793,UNC1542793
1,120983541,JAX00264492,JAX00264492
1,120985073,UNC1544022,UNC1544022
1,121015022,JAX00264502,JAX00264502
1,121035179,UNC1544725,UNC1544725
1,121063201,UNC1545055,UNC1545055
1,121103128,UNC1545527,UNC1545527
1,121136554,UNC1545975,UNC1545975
1,12116705,UNC116817,UNC116817
1,121219095,UNC1547202,UNC1547202
1,121248927,UNC1547605,UNC1547605
1,121287695,UNC1548133,UNC1548133
1,121315223,UNC1548528,UNC1548528
1,121335635,JAX00264608,JAX00264608
1,121355024,UNC1549118,UNC1549118
1,121395411,UNC1549635,UNC1549635
1,121471061,UNC1551053,UNC1551053
1,121514604,UNC1551705,UNC1551705
1,121526630,JAX00008828,JAX00008828
1,121570158,UNC1552601,UNC1552601
1,121605203,UNC1553066,UNC1553066
1,121652549,UNC1553663,UNC1553663
1,121695194,JAX00264734,JAX00264734
1,121699970,UNC1554218,UNC1554218
1,121718646,UNC1554604,UNC1554604
1,121753430,JAX00264752,JAX00264752
1,121766022,UNC1555131,UNC1555131
1,121797151,UNC1555537,UNC1555537
1,121826817,JAX00264770,JAX00264770
1,121827625,UNC1555971,UNC1555971
1,121874290,UNC1556610,UNC1556610
1,121904327,UNC1557009,UNC1557009
1,121938408,UNC1557382,UNC1557382
1,121976493,UNC1557877,UNC1557877
1,122022081,UNC1558377,UNC1558377
1,122042281,UNC1558463,UNC1558463
1,122085031,JAX00264817,JAX00264817;JAX00264817r
1,122127625,UNC1559206,UNC1559206
1,122169625,UNC1559573,UNC1559573
1,122209462,UNC1559954,UNC1559954
1,122241452,UNC1560429,UNC1560429
1,122272348,UNC1560906,UNC1560906
1,122312207,UNC1561385,UNC1561385
1,122323417,JAX00264861,JAX00264861
1,12233226,UNC118279,UNC118279
1,122335600,UNC1561530,UNC1561530
1,122388352,UNC1562414,UNC1562414
1,122489277,UNC1563598,UNC1563598
1,122538496,UNC1564265,UNC1564265
1,122595089,UNC1564999,UNC1564999
1,122634011,UNC1565720,UNC1565720
1,122669834,JAX00264927,JAX00264927
1,12273136,UNC118659,UNC118659
1,122763758,JAX00264954,JAX00264954
1,122801181,JAX00264959,JAX00264959
1,122891425,UNC1569501,UNC1569501
1,123007975,UNC1571149,UNC1571149
1,123113412,JAX00265059,JAX00265059
1,123141062,UNC1573623,UNC1573623
1,123150757,JAX00265073,JAX00265073
1,123173007,JAX00265083,JAX00265083
1,12318704,UNC119270,UNC119270
1,123258892,UNC1575520,UNC1575520
1,123301336,backupUNC010248154,backupUNC010248154
1,123389744,JAX00265126,JAX00265126
1,123444448,,JAX00265145;JAX00265145q
1,123476641,,JAX00265154;JAX00265154q
1,123480894,JAX00265160,JAX00265160
1,123607047,JAX00008984,JAX00008984
1,123618112,UNC1581474,UNC1581474
1,123642702,JAX00008986,JAX00008986
1,12371234,UNC119817,UNC119817
1,123816239,UNC1585109,UNC1585109
1,123903301,UNC1586062,JAX00265269;UNC1586062
1,123954277,JAX00265277,JAX00265277
1,12397782,UNC120225,UNC120225
1,124093478,UNC1588458,UNC1588458
1,124300741,UNC1590608,UNC1590608
1,124403371,UNC011787714,UNC011787714
1,124548738,UNC1593484,UNC1593484
1,12459995,UNC120822,UNC120822
1,124738920,,JAX00265449;JAX00265449q
1,124739403,UNC1596553,UNC1596553
1,124787987,UNC1597584,UNC1597584
1,124818931,UNC1598080,UNC1598080
1,124889844,UNC1599075,UNC1599075
1,124897690,UNC1599254,UNC1599254
1,124981844,UNC1600173,UNC1600173
1,125077916,UNC1602127,UNC1602127
1,125100147,UNC1602439,UNC1602439
1,125148106,UNC1602949,UNC1602949
1,12518475,UNC121401,UNC121401
1,125199295,UNC1603638,UNC1603638
1,125249904,UNC1604247,UNC1604247
1,125334698,UNC1605568,UNC1605568
1,125385311,UNC1606191,UNC1606191
1,125436030,UNC1606618,UNC1606618
1,125442734,JAX00265617,JAX00265617
1,125527931,UNC1608009,UNC1608009
1,125633158,UNC1609566,UNC1609566
1,125667681,JAX00265687,JAX00265687
1,125721851,JAX00265701,JAX00265701
1,125733115,UNC1611162,UNC1611162
1,125772814,UNC1611714,UNC1611714
1,12581013,UNC121959,UNC121959
1,125815665,UNC1612486,UNC1612486
1,125859445,UNC1613285,UNC1613285
1,125898489,JAX00265756,JAX00265756
1,125916856,UNC1614289,UNC1614289
1,126012155,UNC1615540,UNC1615540
1,126059051,UNC1615952,UNC1615952
1,12606658,UNC122065,UNC122065
1,126078905,JAX00265799,JAX00265799
1,126114976,UNC1616935,UNC1616935
1,126133829,JAX00265821,JAX00265821;UNCHS002207
1,126136230,UNC1617184,UNC1617184
1,126180899,UNC1617872,UNC1617872
1,126255654,UNC1619015,UNC1619015
1,126297738,UNC1619820,UNC1619820
1,126353960,UNC1620550,UNC1620550
1,126376470,UNC1620874,UNC1620874
1,126453576,UNC1621986,UNC1621986
1,126498051,UNC1622588,UNC1622588
1,126537246,UNC1623375,UNC1623375
1,126583682,UNC1624111,UNC1624111
1,126625020,UNC1624834,UNC1624834
1,126673001,UNC1625548,UNC1625548;UNCHS002227
1,126673401,JAX00265965,JAX00265965
1,126708289,UNC1625943,UNC1625943
1,126765299,UNC1626833,UNC1626833
1,126821244,UNC1627179,UNC1627179
1,12684741,UNC123049,UNC123049
1,126878909,UNC1627950,UNC1627950
1,126926140,UNC1628428,UNC1628428
1,126952400,UNC1628716,UNC1628716
1,126953808,JAX00266027,JAX00266027;JAX00266027r
1,127043582,UNC1629886,UNC1629886
1,127201540,UNC1631459,UNC1631459
1,127226571,JAX00009255,JAX00009255
1,127234771,UNC1631899,UNC1631899
1,12729603,UNC123541,UNC123541
1,127299177,UNC1632661,UNC1632661
1,127342141,JAX00266105,JAX00266105
1,127353386,UNC1633418,UNC1633418
1,127372249,JAX00266125,JAX00266125
1,127387034,UNC1634030,UNC1634030
1,12740981,UNC123662,UNC123662
1,127454777,UNC1635087,UNC1635087
1,127459710,JAX00266150,JAX00266150
1,127477857,UNC1635382,UNC1635382
1,127523095,UNC1636134,UNC1636134
1,127583094,UNC1637133,UNC1637133
1,127643490,UNC1638108,UNC1638108
1,127683358,UNC1638665,UNC1638665
1,127738256,UNC1639318,UNC1639318
1,127789177,UNC1639760,UNC1639760
1,127829527,UNC1640264,UNC1640264
1,127920237,UNC1641373,UNC1641373
1,127950763,UNC1641688,UNC1641688
1,12797945,JAX00242146,JAX00242146
1,128013847,UNC1642606,UNC1642606
1,128061520,UNC1643026,UNC1643026
1,12812959,UNC124584,UNC124584
1,128149719,UNC1643553,UNC1643553
1,128206767,UNC1643828,UNC1643828
1,128336646,UNC1645062,UNC1645062
1,128408246,UNC1646138,UNC1646138
1,128456191,JAX00266341,JAX00266341
1,128491244,UNC1646942,UNC1646942
1,128536008,UNC1647475,UNC1647475
1,12857792,JAX00242170,JAX00242170
1,128585399,UNC1648126,UNC1648126
1,128627956,UNC1648713,UNC1648713
1,128683946,UNC1649686,UNC1649686
1,128739642,UNC1650519,UNC1650519
1,128786108,UNC1651111,UNC1651111
1,128801961,UNC1651375,UNC1651375
1,12880486,UNC125332,UNC125332
1,128871132,UNC1652506,UNC1652506
1,128917311,UNC1653155,UNC1653155
1,128948553,JAX00266469,JAX00266469
1,128977554,UNC1654052,UNC1654052
1,129020816,UNC1654661,UNC1654661
1,129062642,UNC1655320,UNC1655320
1,129109025,UNC1655592,UNC1655592
1,12916065,UNC125893,UNC125893
1,129192359,UNC1656971,UNC1656971
1,129265962,UNC1657949,UNC1657949
1,129281692,,JAX00266515;JAX00266515q
1,129302794,UNC1658342,UNC1658342
1,129348557,UNC1658895,UNC1658895
1,129400476,JAX00266534,JAX00266534
1,129403699,UNC1659488,UNC1659488
1,12946779,UNC126538,UNC126538
1,129473655,UNC1660093,UNC1660093
1,129540387,UNC1660841,UNC1660841
1,129586511,JAX00009432,JAX00009432
1,129595674,JAX00266560,JAX00266560
1,129599395,JAX00009434,JAX00009434
1,129599626,UNC1661452,UNC1661452
1,129635498,UNC1661967,UNC1661967
1,129694082,UNC1662525,UNC1662525
1,129716049,UNC1662742,UNC1662742
1,129752305,JAX00009446,JAX00009446
1,129779083,UNC1663601,UNC1663601
1,129809947,backupJAX00266606,backupJAX00266606;JAX00266606
1,129889768,UNC1664572,UNC1664572
1,129924046,UNC1664884,UNC1664884
1,129945818,UNC1665189,UNC1665189
1,12994801,JAX00242215,JAX00242215;JAX00242215r
1,130019481,UNC1666042,UNC1666042
1,130046893,UNC1666268,UNC1666268
1,130113842,JAX00009472,JAX00009472;JAX00009472r
1,130115808,UNC1667054,UNC1667054
1,130163466,UNC1667469,UNC1667469
1,130198302,UNC1667919,UNC1667919
1,130260734,UNC1668538,UNC1668538
1,130276178,JAX00266711,JAX00266711
1,130277352,JAX00266713,JAX00266713
1,130300966,UNC1669191,UNC1669191
1,130334739,UNC1669620,UNC1669620
1,13038248,JAX00242226,JAX00242226
1,130390246,UNC1670246,UNC1670246
1,130443017,UNC1670722,UNC1670722
1,130478520,UNC1670993,UNC1670993
1,130541629,UNC1671642,UNC1671642
1,130588894,UNC1672080,UNC1672080
1,130623834,UNC1672422,UNC1672422
1,130682492,UNC1672968,UNC1672968
1,130729874,UNC1673446,UNC1673446
1,13076797,UNC128912,UNC128912
1,130780218,UNC1674121,UNC1674121
1,130810618,UNC1674733,UNC1674733
1,130832276,JAX00009526,JAX00009526
1,130863937,JAX00009529,JAX00009529
1,130878269,UNC1675521,UNC1675521
1,130917309,UNC1675886,UNC1675886
1,130971664,UNC1676448,UNC1676448
1,131006902,JAX00266864,JAX00266864
1,131018354,UNC1676877,UNC1676877
1,131062932,UNC1677482,UNC1677482
1,131119272,UNC1678106,UNC1678106
1,131137576,UNC1678382,UNC1678382
1,131204623,UNC1679056,UNC1679056
1,131260357,UNC1679857,UNC1679857
1,131298159,JAX00266918,JAX00266918
1,13129964,UNC129874,UNC129874
1,131309289,UNC1680373,UNC1680373
1,131330550,UNC1680580,UNC1680580
1,131450891,UNC1681465,UNC1681465
1,131497494,UNC1681979,UNC1681979
1,131541317,UNC1682327,UNC1682327
1,131548859,JAX00266968,JAX00266968
1,131594157,UNC1683050,UNC1683050
1,13164449,UNC130265,UNC130265
1,131710587,JAX00009591,JAX00009591
1,131752423,UNC1685429,UNC1685429
1,131764840,UNC1685599,UNC1685599
1,131774951,JAX00009597,JAX00009597
1,131819995,UNC1686272,UNC1686272
1,131876736,UNC1687139,UNC1687139
1,131923837,UNC1687748,UNC1687748
1,131967506,UNC1688141,UNC1688141
1,131984856,JAX00267098,JAX00267098
1,13202276,UNC130697,UNC130697
1,132035118,UNC1688945,UNC1688945
1,132132634,UNC1690411,UNC1690411
1,132155957,UNC1690698,UNC1690698
1,132199455,JAX00267164,JAX00267164;JAX00267164r
1,132295971,UNC1692771,UNC1692771
1,132375367,UNC1693872,UNC1693872
1,132384072,UNC1693985,UNC1693985
1,13243837,UNC131096,UNC131096
1,132441996,UNC1694738,UNC1694738
1,132481090,UNC1695128,UNC1695128
1,132566631,,JAX00267303;JAX00267303q
1,132583813,UNC1696219,UNC1696219
1,132628058,UNC1696976,UNC1696976
1,132656173,JAX00267358,JAX00267358
1,132692609,UNC1698124,UNC1698124
1,132725607,UNC1698692,UNC1698692
1,13275270,JAX00000763,JAX00000763;JAX00000763r
1,132782211,UNC1699502,UNC1699502
1,132829321,UNC1700014,UNC1700014
1,132863012,JAX00009678,JAX00009678
1,13287056,UNC131724,UNC131724
1,132882870,UNC1700691,UNC1700691
1,132923780,UNC1701165,UNC1701165
1,132956152,UNC1701557,UNC1701557
1,133031004,UNC1702506,UNC1702506
1,133052274,UNC1702816,UNC1702816
1,133066039,JAX00267506,JAX00267506
1,133101658,UNC1703518,UNC1703518
1,133157143,JAX00009700,JAX00009700
1,133175781,UNC1704374,UNC1704374
1,133212341,UNC1704699,UNC1704699
1,133222151,JAX00267573,JAX00267573
1,133246375,UNC1705122,UNC1705122
1,133296512,UNC1705547,UNC1705547
1,133346106,UNC1706020,UNC1706020
1,133403330,UNC1706873,UNC1706873
1,133432396,,JAX00267608;JAX00267608q
1,133438630,UNC1707230,UNC1707230
1,133517184,UNC1708282,UNC1708282
1,133540405,UNC1708765,UNC1708765
1,13356203,UNC132450,UNC132450
1,133591758,UNC1709483,UNC1709483
1,133596578,JAX00267656,JAX00267656
1,133637955,UNC1709861,UNC1709861
1,133669056,UNC1710042,UNC1710042
1,133744246,UNC1710615,UNC1710615
1,133771662,UNC1710873,UNC1710873
1,13381025,UNC132724,UNC132724
1,133816338,UNC1711490,UNC1711490
1,133859718,JAX00267714,JAX00267714
1,133927182,UNC1713106,UNC1713106
1,133956708,UNC1713635,UNC1713635
1,134013731,UNC1714772,UNC1714772
1,134070026,UNC1715756,UNC1715756
1,134097437,UNC1716074,UNC1716074
1,134159158,UNC1717078,UNC1717078
1,134255931,UNC1718464,JAX00267823;UNC1718464
1,134339813,JAX00267852,JAX00267852
1,134340302,UNC1719554,UNC1719554
1,134420271,UNC1720316,UNC1720316
1,134456880,UNC1720627,UNC1720627
1,134492921,UNC1721079,UNC1721079
1,134632609,JAX00267931,JAX00267931
1,134640612,UNC1722670,UNC1722670
1,134671994,UNC010609322,UNC010609322
1,134738821,UNC1724338,UNC1724338
1,134783001,UNC1724774,UNC1724774
1,134794781,JAX00267975,JAX00267975
1,134831482,UNC1725243,UNC1725243
1,134866616,UNC1725625,UNC1725625
1,134879849,JAX00267994,JAX00267994
1,134927619,UNC1726338,UNC1726338
1,134982002,UNC1727060,UNC1727060
1,13500643,UNC134046,UNC134046
1,135017599,UNC1727606,UNC1727606
1,135087533,UNC1728467,UNC1728467
1,135134203,UNC1729122,UNC1729122
1,135172170,JAX00268041,JAX00268041
1,135173144,UNC1729680,UNC1729680
1,135174094,JAX00268045,JAX00268045
1,135198217,JAX00009853,JAX00009853
1,135200785,UNC1730032,UNC1730032
1,135276615,UNC1731041,UNC1731041
1,135309284,UNC1731586,UNC1731586
1,135400070,UNC1732940,UNC1732940
1,13540908,UNC134669,UNC134669
1,135464050,UNC1733690,UNC1733690
1,135533548,UNC1734749,UNC1734749
1,135567792,JAX00268154,JAX00268154
1,135572012,UNC1735400,UNC1735400
1,135689183,UNC1737217,UNC1737217
1,135732817,UNC1737980,UNC1737980
1,135769394,JAX00268221,JAX00268221
1,135780116,JAX00268227,JAX00268227
1,135783710,UNC1738926,UNC1738926
1,135816613,UNC1739568,UNC1739568
1,135866870,UNC1740277,UNC1740277
1,135912734,UNC1740819,UNC1740819
1,135958111,UNC1741488,UNC1741488
1,135986575,UNC1742019,UNC1742019
1,135992890,JAX00268326,JAX00268326
1,135996982,UNC1742224,UNC1742224
1,136017924,UNC1742569,UNC1742569
1,136040194,UNC1742972,UNC1742972
